i,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11
0,96672,756888,444188,125912,821926,685245,42938,713505,565132,381004,166283,225853
1,286894,277882,210337,969158,71104,473501,462122,585521,965011,751166,324886,231816
2,367887,78800,873337,993471,132421,660399,165701,916502,933729,952581,562294,439298
3,374757,20940,329733,48449,706496,893405,288902,1021006,670371,684785,673706,705362
4,999758,67841,19730,121751,39271,702054,552897,753098,763147,116568,400478,399298
5,19864,230379,722501,62469,922467,959871,365699,606292,66956,406530,672337,368126
6,1045129,330894,417674,425646,822888,781496,255523,992439,980408,924101,500209,920696
7,709949,276511,324768,327512,88386,1048418,228931,891735,526930,881072,479939,78060
8,731378,970119,953104,951637,82072,514634,965033,796810,863227,351243,241909,184103
9,216960,928998,402816,564576,47239,688342,807325,680447,479353,870982,229953,298478
10,802367,410242,262258,339538,388690,158078,510441,250339,436039,362234,794075,931522
11,644590,58908,1006526,748299,535794,1038947,485562,400097,495586,707413,1041379,1045465
12,722555,246905,413877,49878,1031607,397630,865843,785639,382681,760798,576908,863260
13,263703,801807,723765,692241,602462,848273,523021,81629,202186,491855,291910,230366
14,774467,807705,944431,579520,299759,234807,853532,968633,833994,1037163,148112,785031
15,888332,353536,606838,39821,531082,210898,1032734,507576,387977,900648,769071,816611
16,299651,182993,635555,77852,77831,7432,77188,605950,584865,530606,819476,77568
17,752224,867914,1028259,1020781,972662,514836,170123,75193,778891,589857,769075,653834
18,472949,527546,1038627,842945,227820,1027591,441317,560112,67550,283481,189500,803265
19,356545,409454,558310,730965,929425,827668,658080,532640,529729,808525,321939,602354
20,249056,685542,919923,379955,496031,482498,348803,337391,176905,94387,511313,93651
21,446089,147496,221129,772916,433771,102706,577491,7172,649789,638741,418565,1042813
22,253298,559437,386798,386296,1005117,668871,992603,122664,77478,463134,585055,734151
23,640454,514223,817455,693157,491181,905131,25339,384220,260013,968260,361339,540413
24,40791,685687,1037110,53911,20698,166218,202143,624458,943396,358606,623681,336197
25,595028,295313,731159,955379,463195,434317,18141,202743,796396,265147,982031,168740
26,872772,78690,972376,322898,516720,107080,788451,166302,131262,301535,733114,287356
27,116114,122129,906563,370713,273519,943389,341465,796963,849790,116154,773482,911098
28,405110,591390,637217,290518,395065,914120,673777,364144,685979,742526,813176,703617
29,572576,889799,99597,597057,23236,371562,9643,649275,268852,534923,96683,413353
